siteID,domain,latitude,longitude,elevation_m,soil_order,soil_suborder,n_samples,n_years,first_sample,last_sample
BART,D01,44.0621,-71.2859,291,Orthod,Orthod,178,1,4/25/22,10/6/22
HARV,D01,42.4895,-72.2752,189.8,Udept,Udept,529,6,4/17/18,10/21/24
BLAN,D02,39.0789,-77.9637,121.8,Udalf,Udalf,81,1,3/9/20,10/14/20
SCBI,D02,38.8946,-78.1396,364.6,Udalf,Udalf,453,6,3/28/17,11/13/24
SERC,D02,38.8908,-76.554,8.5,Udult,Udult,84,1,3/29/21,10/19/21
DSNY,D03,28.0439,-81.3936,19.7,Aquod,Aquod,133,2,3/6/18,10/31/23
JERC,D03,31.1968,-84.4682,36,Udult,Udult,180,2,3/18/19,10/23/24
OSBS,D03,29.6872,-81.9697,39.2,Psamment,Psamment,396,5,7/6/20,10/30/24
GUAN,D04,17.9703,-66.8246,86.6,Calcids,Calcids,443,7,9/24/18,9/5/24
LAJA,D04,18.0202,-67.0755,13.2,Ustert,Ustert,90,1,7/13/20,12/17/20
STEI,D05,45.7979,-90.0642,508.4,Aquod,Aquod,103,2,4/19/17,10/5/22
TREE,D05,45.4936,-89.5922,465.5,Orthod,Orthod,62,1,7/6/20,10/8/20
UNDE,D05,46.2546,-89.5127,530,Aquod,Aquod,549,6,5/13/19,9/30/24
KONA,D06,39.2216,-96.5826,317.8,Udoll,Udoll,178,2,4/1/19,10/9/24
KONZ,D06,39.0881,-96.5703,404.2,Ustoll,Ustoll,467,6,4/11/17,10/16/24
UKFS,D06,39.0376,-95.197,311.5,Udoll,Udoll,90,1,4/3/23,11/2/23
GRSM,D07,35.6789,-83.6453,522.7,Udept,Udept,119,1,4/5/21,10/21/21
MLBS,D07,37.4279,-80.5718,806.2,Aquents,Aquents,118,2,4/23/18,10/11/23
ORNL,D07,35.9556,-84.2213,277.6,Udult,Udult,503,6,4/4/17,11/6/24
DELA,D08,32.5234,-87.8146,27.2,Udult,Udult,174,2,5/13/19,11/5/24
LENO,D08,31.8575,-88.1633,12.6,Aquepts,Aquepts,117,2,11/5/18,11/8/23
TALL,D08,32.9502,-87.3973,116.8,Udult,Udult,491,6,4/4/17,10/31/24
DCFS,D09,47.1634,-99.1157,568.5,Udoll,Udoll,179,2,5/1/19,10/5/23
NOGP,D09,46.8061,-100.9154,526.2,Ustoll,Ustoll,43,1,7/1/20,10/1/20
WOOD,D09,47.1283,-99.2578,596.3,Ustoll,Ustoll,378,5,8/3/20,10/9/24
CPER,D10,40.8189,-104.7489,1652.1,Ustoll,Ustoll,365,5,6/23/20,11/5/24
RMNP,D10,40.1868,-105.5409,2814.7,Cryoll,Cryoll,62,1,6/29/20,10/1/20
STER,D10,40.4707,-103.0117,1353.3,Ustoll,Ustoll,122,2,4/5/17,10/18/22
CLBJ,D11,33.3788,-97.6467,330.4,Ustalf,Ustalf,468,6,3/4/19,10/23/24
OAES,D11,35.4127,-99.0583,515.1,Ustept,Ustept,119,2,10/15/18,8/9/23
YELL,D12,44.9446,-110.4337,1901.5,Ustoll,Ustoll,278,5,7/8/20,10/9/24
MOAB,D13,38.2333,-109.3974,1762.9,Calcid,Calcid,164,2,3/27/17,10/24/22
NIWO,D13,40.0547,-105.5865,3540.9,Cryoll,Cryoll,510,6,6/17/19,9/18/24
JORN,D14,32.5921,-106.8433,1321.9,Calcid,Calcid,169,2,6/27/17,10/25/22
SRER,D14,31.9095,-110.8334,1002.3,Fluvent,Fluvent,390,5,10/27/20,11/5/24
ONAQ,D15,40.1585,-112.5216,1795.9,Calcid,Calcid,356,5,7/9/20,10/30/24
ABBY,D16,45.7605,-122.33,362.2,Udept,Udept,64,1,4/18/22,11/7/22
WREF,D16,45.829,-121.9585,371.3,Udand,Udand,484,6,4/29/19,10/21/24
SJER,D17,37.1235,-119.7485,499.5,Xeroll,Xeroll,472,7,10/10/18,11/21/24
SOAP,D17,37.0307,-119.2818,1294.6,Xeralf,Xeralf,90,2,10/22/18,11/19/24
TEAK,D17,36.9997,-119.011,2141.8,Xerept,Xerept,75,1,5/3/21,10/13/21
BARR,D18,71.2809,-156.6369,6,Turbel,Turbel,44,1,8/24/22,8/28/22
TOOL,D18,68.6667,-149.3698,827.4,Turbel,Turbel,142,5,7/19/17,7/19/24
BONA,D19,65.155,-147.5072,246.1,Turbel,Turbel,234,6,8/26/19,7/12/24
DEJU,D19,63.8809,-145.743,509.1,Cryept,Cryept,54,2,6/21/18,6/29/23
HEAL,D19,63.8734,-149.2164,691,Turbel,Turbel,54,1,6/22/21,6/26/21
PUUM,D20,19.5536,-155.3192,1707.9,Udand,Udand,545,7,11/8/18,11/14/24
