Table S3. Domain-level summary statistics for microbial community metrics across 20 NEON ecological domains

domainID,n_samples,n_sites,mean_biomass,sd_biomass,mean_FB,sd_FB,mean_GPGN,sd_GPGN
D01,707,2,873.84,562.25,0.196,0.144,1.68,1.02
D02,618,3,170.44,133.95,0.046,0.034,2.25,4.01
D03,709,3,58.47,120.96,0.105,0.072,3.16,1.76
D04,533,2,221.47,111.22,0.034,0.024,5.51,10.17
D05,714,3,531.86,724.66,0.08,0.07,1.42,3.28
D06,735,3,217.07,178.52,0.055,0.038,3.19,2.52
D07,740,3,266.17,339.25,0.099,0.067,1.86,3.39
D08,782,3,87.01,82.37,0.081,0.051,2.01,1.26
D09,600,3,178.27,182.34,0.056,0.035,1.91,0.74
D10,549,3,73.54,147.9,0.048,0.062,3.68,6.11
D11,587,2,45.59,21.01,0.081,0.044,2.92,2.1
D12,278,1,125.18,66.23,0.121,0.078,1.68,2.29
D13,674,2,322.63,345.71,0.196,0.218,1.83,2.23
D14,559,2,23.87,13.96,0.037,0.048,3.11,2.61
D15,356,1,45.42,23.48,0.043,0.031,1.29,3.02
D16,548,2,473.53,409.66,0.218,0.151,1.22,0.56
D17,637,3,63.24,93.68,0.079,0.065,2.49,3.74
D18,186,2,886.38,659.63,0.168,0.241,1.31,1.57
D19,342,3,910.9,634.09,0.318,0.274,1.16,1.38
D20,545,1,1017.67,452.35,0.102,0.114,1.05,0.42
